case ID,activity,timestamp
12,Send Purchase Order,1704-12-30
13,Book Invoice,1700-12-30
13,Create Purchase Order Item,1701-12-30
13,Receive Goods,1702-12-30
13,Scan Invoice,1703-12-30
13,Send Purchase Order,1704-12-30
14,Book Invoice,1700-12-30
14,Create Purchase Order Item,1701-12-30
14,Receive Goods,1702-12-30
14,Scan Invoice,1703-12-30
14,Send Purchase Order,1704-12-30
15,Book Invoice,1700-12-30
15,Create Purchase Order Item,1701-12-30
15,Receive Goods,1702-12-30
15,Scan Invoice,1703-12-30
15,Send Purchase Order,1704-12-30
16,Book Invoice,1700-12-30
16,Create Purchase Order Item,1701-12-30
16,Receive Goods,1702-12-30
16,Scan Invoice,1703-12-30
16,Send Purchase Order,1704-12-30
17,Book Invoice,1700-12-30
17,Create Purchase Order Item,1701-12-30
17,Receive Goods,1702-12-30
17,Scan Invoice,1703-12-30
17,Send Purchase Order,1704-12-30
18,Book Invoice,1700-12-30
18,Create Purchase Order Item,1701-12-30
18,Receive Goods,1702-12-30
18,Scan Invoice,1703-12-30
18,Send Purchase Order,1704-12-30
19,Book Invoice,1700-12-30
19,Create Purchase Order Item,1701-12-30
19,Receive Goods,1702-12-30
19,Scan Invoice,1703-12-30
19,Send Purchase Order,1704-12-30
20,Book Invoice,1700-12-30
20,Change Price,1701-12-30
20,Create Purchase Order Item,1702-12-30
20,Receive Goods,1703-12-30
20,Scan Invoice,1704-12-30
20,Send Purchase Order,1705-12-30
21,Book Invoice,1700-12-30
21,Change Price,1701-12-30
21,Create Purchase Order Item,1702-12-30
21,Receive Goods,1703-12-30
21,Scan Invoice,1704-12-30
21,Send Purchase Order,1705-12-30
22,Book Invoice,1700-12-30
22,Change Price,1701-12-30
22,Create Purchase Order Item,1702-12-30
22,Receive Goods,1703-12-30
22,Scan Invoice,1704-12-30
22,Send Purchase Order,1705-12-30
23,Book Invoice,1700-12-30
23,Change Price,1701-12-30
23,Create Purchase Order Item,1702-12-30
23,Receive Goods,1703-12-30
23,Scan Invoice,1704-12-30
23,Send Purchase Order,1705-12-30
24,Book Invoice,1700-12-30
24,Create Purchase Order Item,1701-12-30
24,Receive Goods,1702-12-30
24,Scan Invoice,1703-12-30
24,Send Purchase Order,1704-12-30
25,Book Invoice,1700-12-30
25,Create Purchase Order Item,1701-12-30
25,Receive Goods,1702-12-30
25,Scan Invoice,1703-12-30
25,Send Purchase Order,1704-12-30
26,Book Invoice,1700-12-30
26,Create Purchase Order Item,1701-12-30
26,Receive Goods,1702-12-30
26,Scan Invoice,1703-12-30
26,Send Purchase Order,1704-12-30
27,Book Invoice,1700-12-30
27,Create Purchase Order Item,1701-12-30
27,Receive Goods,1702-12-30
27,Scan Invoice,1703-12-30
27,Send Purchase Order,1704-12-30
28,Book Invoice,1700-12-30
28,Create Purchase Order Item,1701-12-30
28,Receive Goods,1702-12-30
28,Scan Invoice,1703-12-30
28,Send Purchase Order,1704-12-30
29,Book Invoice,1700-12-30
29,Create Purchase Order Item,1701-12-30
29,Receive Goods,1702-12-30
29,Scan Invoice,1703-12-30
29,Send Purchase Order,1704-12-30
30,Book Invoice,1700-12-30
30,Create Purchase Order Item,1701-12-30
30,Receive Goods,1702-12-30
30,Receive Order Confirmation,1703-12-30
30,Scan Invoice,1704-12-30
30,Send Purchase Order,1705-12-30
31,Book Invoice,1700-12-30
31,Create Purchase Order Item,1701-12-30
31,Receive Goods,1702-12-30
31,Receive Order Confirmation,1703-12-30
31,Scan Invoice,1704-12-30
31,Send Purchase Order,1705-12-30
32,Book Invoice,1700-12-30
32,Change Price,1701-12-30
32,Create Purchase Order Item,1702-12-30
32,Receive Goods,1703-12-30
32,Scan Invoice,1704-12-30
32,Send Purchase Order,1705-12-30
33,Book Invoice,1700-12-30
33,Create Purchase Order Item,1701-12-30
33,Dun Order Confirmation,1702-12-30
33,Receive Goods,1703-12-30
33,Receive Order Confirmation,1704-12-30
33,Scan Invoice,1705-12-30
33,Send Purchase Order,1706-12-30
34,Book Invoice,1700-12-30
34,Change Price,1701-12-30
34,Create Purchase Order Item,1702-12-30
34,Receive Goods,1703-12-30
34,Scan Invoice,1704-12-30
34,Send Purchase Order,1705-12-30
35,Book Invoice,1700-12-30
35,Change Price,1701-12-30
35,Create Purchase Order Item,1702-12-30
35,Receive Goods,1703-12-30
35,Scan Invoice,1704-12-30
35,Send Purchase Order,1705-12-30
36,Book Invoice,1700-12-30
36,Change Currency,1701-12-30
36,Create Purchase Order Item,1702-12-30
36,Receive Goods,1703-12-30
36,Scan Invoice,1704-12-30
36,Send Purchase Order,1705-12-30
37,Book Invoice,1700-12-30
37,Change Price,1701-12-30
37,Create Purchase Order Item,1702-12-30
37,Receive Goods,1703-12-30
37,Scan Invoice,1704-12-30
37,Send Purchase Order,1705-12-30
38,Book Invoice,1700-12-30
38,Change Price,1701-12-30
38,Create Purchase Order Item,1702-12-30
38,Receive Goods,1703-12-30
38,Scan Invoice,1704-12-30
38,Send Purchase Order,1705-12-30
39,Block Purchase Order Item,1700-12-30
39,Book Invoice,1701-12-30
39,Create Purchase Order Item,1702-12-30
39,Receive Goods,1703-12-30
39,Release Purchase Order,1704-12-30
39,Scan Invoice,1705-12-30
39,Send Purchase Order,1706-12-30
40,Book Invoice,1700-12-30
40,Change Price,1701-12-30
40,Create Purchase Order Item,1702-12-30
40,Receive Goods,1703-12-30
40,Scan Invoice,1704-12-30
40,Send Purchase Order,1705-12-30
41,Book Invoice,1700-12-30
41,Change Price,1701-12-30
41,Create Purchase Order Item,1702-12-30
41,Receive Goods,1703-12-30
41,Scan Invoice,1704-12-30
41,Send Purchase Order,1705-12-30
42,Book Invoice,1700-12-30
42,Create Purchase Order Item,1701-12-30
42,Receive Goods,1702-12-30
42,Scan Invoice,1703-12-30
42,Send Purchase Order,1704-12-30
43,Book Invoice,1700-12-30
43,Create Purchase Order Item,1701-12-30
43,Receive Goods,1702-12-30
43,Scan Invoice,1703-12-30
43,Send Purchase Order,1704-12-30
44,Book Invoice,1700-12-30
44,Create Purchase Order Item,1701-12-30
44,Receive Goods,1702-12-30
44,Scan Invoice,1703-12-30
44,Send Purchase Order,1704-12-30
45,Book Invoice,1700-12-30
45,Create Purchase Order Item,1701-12-30
45,Receive Goods,1702-12-30
45,Scan Invoice,1703-12-30
45,Send Purchase Order,1704-12-30
46,Book Invoice,1700-12-30
46,Create Purchase Order Item,1701-12-30
46,Receive Goods,1702-12-30
46,Scan Invoice,1703-12-30
46,Send Purchase Order,1704-12-30
47,Book Invoice,1700-12-30
47,Create Purchase Order Item,1701-12-30
47,Receive Goods,1702-12-30
47,Scan Invoice,1703-12-30
47,Send Purchase Order,1704-12-30
48,Book Invoice,1700-12-30
48,Create Purchase Order Item,1701-12-30
48,Receive Goods,1702-12-30
48,Scan Invoice,1703-12-30
48,Send Purchase Order,1704-12-30
49,Book Invoice,1700-12-30
49,Create Purchase Order Item,1701-12-30
49,Receive Goods,1702-12-30
49,Scan Invoice,1703-12-30
49,Send Purchase Order,1704-12-30
50,Book Invoice,1700-12-30
50,Create Purchase Order Item,1701-12-30
50,Receive Goods,1702-12-30
50,Scan Invoice,1703-12-30
50,Send Purchase Order,1704-12-30
51,Book Invoice,1700-12-30
51,Create Purchase Order Item,1701-12-30
51,Receive Goods,1702-12-30
51,Scan Invoice,1703-12-30
51,Send Purchase Order,1704-12-30
52,Book Invoice,1700-12-30
52,Create Purchase Order Item,1701-12-30
52,Receive Goods,1702-12-30
52,Scan Invoice,1703-12-30
52,Send Purchase Order,1704-12-30
53,Book Invoice,1700-12-30
53,Create Purchase Order Item,1701-12-30
53,Receive Goods,1702-12-30
53,Scan Invoice,1703-12-30
53,Send Purchase Order,1704-12-30
54,Book Invoice,1700-12-30
54,Create Purchase Order Item,1701-12-30
54,Receive Goods,1702-12-30
54,Scan Invoice,1703-12-30
54,Send Purchase Order,1704-12-30
55,Book Invoice,1700-12-30
55,Create Purchase Order Item,1701-12-30
55,Receive Goods,1702-12-30
55,Scan Invoice,1703-12-30
55,Send Purchase Order,1704-12-30
56,Book Invoice,1700-12-30
56,Create Purchase Order Item,1701-12-30
56,Receive Goods,1702-12-30
56,Scan Invoice,1703-12-30
56,Send Purchase Order,1704-12-30
57,Book Invoice,1700-12-30
57,Create Purchase Order Item,1701-12-30
57,Receive Goods,1702-12-30
57,Scan Invoice,1703-12-30
57,Send Purchase Order,1704-12-30
58,Book Invoice,1700-12-30
58,Create Purchase Order Item,1701-12-30
58,Receive Goods,1702-12-30
58,Scan Invoice,1703-12-30
58,Send Purchase Order,1704-12-30
59,Book Invoice,1700-12-30
59,Create Purchase Order Item,1701-12-30
59,Receive Goods,1702-12-30
59,Scan Invoice,1703-12-30
59,Send Purchase Order,1704-12-30
60,Book Invoice,1700-12-30
60,Create Purchase Order Item,1701-12-30
60,Receive Goods,1702-12-30
60,Scan Invoice,1703-12-30
60,Send Purchase Order,1704-12-30
61,Book Invoice,1700-12-30
61,Change Price,1701-12-30
61,Create Purchase Order Item,1702-12-30
61,Receive Goods,1703-12-30
61,Scan Invoice,1704-12-30
61,Send Purchase Order,1705-12-30
62,Book Invoice,1700-12-30
62,Change Price,1701-12-30
62,Create Purchase Order Item,1702-12-30
62,Receive Goods,1703-12-30
62,Scan Invoice,1704-12-30
62,Send Purchase Order,1705-12-30
63,Book Invoice,1700-12-30
63,Change Price,1701-12-30
63,Create Purchase Order Item,1702-12-30
63,Receive Goods,1703-12-30
63,Scan Invoice,1704-12-30
63,Send Purchase Order,1705-12-30
64,Book Invoice,1700-12-30
64,Change Price,1701-12-30
64,Create Purchase Order Item,1702-12-30
64,Receive Goods,1703-12-30
64,Scan Invoice,1704-12-30
64,Send Purchase Order,1705-12-30
65,Book Invoice,1700-12-30
65,Create Purchase Order Item,1701-12-30
65,Receive Goods,1702-12-30
65,Scan Invoice,1703-12-30
65,Send Purchase Order,1704-12-30
66,Book Invoice,1700-12-30
66,Create Purchase Order Item,1701-12-30
66,Receive Goods,1702-12-30
66,Scan Invoice,1703-12-30
66,Send Purchase Order,1704-12-30
67,Book Invoice,1700-12-30
67,Create Purchase Order Item,1701-12-30
67,Receive Goods,1702-12-30
67,Scan Invoice,1703-12-30
67,Send Purchase Order,1704-12-30
68,Book Invoice,1700-12-30
68,Create Purchase Order Item,1701-12-30
68,Receive Goods,1702-12-30
68,Scan Invoice,1703-12-30
68,Send Purchase Order,1704-12-30
69,Book Invoice,1700-12-30
69,Create Purchase Order Item,1701-12-30
69,Receive Goods,1702-12-30
69,Scan Invoice,1703-12-30
69,Send Purchase Order,1704-12-30
70,Book Invoice,1700-12-30
70,Create Purchase Order Item,1701-12-30
70,Receive Goods,1702-12-30
70,Scan Invoice,1703-12-30
70,Send Purchase Order,1704-12-30
71,Book Invoice,1700-12-30
71,Create Purchase Order Item,1701-12-30
71,Receive Goods,1702-12-30
71,Receive Order Confirmation,1703-12-30
71,Scan Invoice,1704-12-30
71,Send Purchase Order,1705-12-30
72,Book Invoice,1700-12-30
72,Create Purchase Order Item,1701-12-30
72,Receive Goods,1702-12-30
72,Receive Order Confirmation,1703-12-30
72,Scan Invoice,1704-12-30
72,Send Purchase Order,1705-12-30
73,Book Invoice,1700-12-30
73,Create Purchase Order Item,1701-12-30
73,Dun Order Confirmation,1702-12-30
73,Receive Goods,1703-12-30
73,Receive Order Confirmation,1704-12-30
73,Scan Invoice,1705-12-30
73,Send Purchase Order,1706-12-30
74,Book Invoice,1700-12-30
74,Create Purchase Order Item,1701-12-30
74,Dun Order Confirmation,1702-12-30
74,Receive Goods,1703-12-30
74,Receive Order Confirmation,1704-12-30
74,Scan Invoice,1705-12-30
74,Send Purchase Order,1706-12-30
75,Book Invoice,1700-12-30
75,Create Purchase Order Item,1701-12-30
75,Receive Goods,1702-12-30
75,Remove Payment Block,1703-12-30
75,Scan Invoice,1704-12-30
75,Send Purchase Order,1705-12-30
75,Set Payment Block,1706-12-30
76,Book Invoice,1700-12-30
76,Create Purchase Order Item,1701-12-30
76,Receive Goods,1702-12-30
76,Scan Invoice,1703-12-30
76,Send Purchase Order,1704-12-30
76,Send Purchase Order Update,1705-12-30
77,Book Invoice,1700-12-30
77,Change Currency,1701-12-30
77,Create Purchase Order Item,1702-12-30
77,Receive Goods,1703-12-30
77,Scan Invoice,1704-12-30
77,Send Purchase Order,1705-12-30
78,Create Purchase Order Item,1700-12-30
78,Delete Purchase Order Item,1701-12-30
78,Send Purchase Order,1702-12-30
79,Block Purchase Order Item,1700-12-30
79,Create Purchase Order Item,1701-12-30
79,Send Purchase Order,1702-12-30
80,Block Purchase Order Item,1700-12-30
80,Book Invoice,1701-12-30
80,Create Purchase Order Item,1702-12-30
80,Receive Goods,1703-12-30
80,Release Purchase Order,1704-12-30
80,Scan Invoice,1705-12-30
80,Send Purchase Order,1706-12-30
81,Create Purchase Order Item,1700-12-30
81,Refuse Purchase Order Item,1701-12-30
82,Book Invoice,1700-12-30
82,Create Purchase Order Item,1701-12-30
82,Receive Goods,1702-12-30
82,Scan Invoice,1703-12-30
82,Send Purchase Order,1704-12-30
83,Book Invoice,1700-12-30
83,Create Purchase Order Item,1701-12-30
83,Receive Goods,1702-12-30
83,Scan Invoice,1703-12-30
83,Send Purchase Order,1704-12-30
84,Book Invoice,1700-12-30
84,Create Purchase Order Item,1701-12-30
84,Receive Goods,1702-12-30
84,Scan Invoice,1703-12-30
84,Send Purchase Order,1704-12-30
85,Book Invoice,1700-12-30
85,Create Purchase Order Item,1701-12-30
85,Receive Goods,1702-12-30
85,Scan Invoice,1703-12-30
85,Send Purchase Order,1704-12-30
86,Book Invoice,1700-12-30
86,Create Purchase Order Item,1701-12-30
86,Receive Goods,1702-12-30
86,Scan Invoice,1703-12-30
86,Send Purchase Order,1704-12-30
87,Book Invoice,1700-12-30
87,Create Purchase Order Item,1701-12-30
87,Receive Goods,1702-12-30
87,Scan Invoice,1703-12-30
87,Send Purchase Order,1704-12-30
88,Book Invoice,1700-12-30
88,Create Purchase Order Item,1701-12-30
88,Receive Goods,1702-12-30
88,Scan Invoice,1703-12-30
88,Send Purchase Order,1704-12-30
89,Book Invoice,1700-12-30
89,Create Purchase Order Item,1701-12-30
89,Receive Goods,1702-12-30
89,Scan Invoice,1703-12-30
89,Send Purchase Order,1704-12-30
90,Book Invoice,1700-12-30
90,Create Purchase Order Item,1701-12-30
90,Receive Goods,1702-12-30
90,Scan Invoice,1703-12-30
90,Send Purchase Order,1704-12-30
91,Book Invoice,1700-12-30
91,Create Purchase Order Item,1701-12-30
91,Receive Goods,1702-12-30
91,Scan Invoice,1703-12-30
91,Send Purchase Order,1704-12-30
92,Book Invoice,1700-12-30
92,Create Purchase Order Item,1701-12-30
92,Receive Goods,1702-12-30
92,Scan Invoice,1703-12-30
92,Send Purchase Order,1704-12-30
93,Book Invoice,1700-12-30
93,Create Purchase Order Item,1701-12-30
93,Receive Goods,1702-12-30
93,Scan Invoice,1703-12-30
93,Send Purchase Order,1704-12-30
94,Book Invoice,1700-12-30
94,Create Purchase Order Item,1701-12-30
94,Receive Goods,1702-12-30
94,Scan Invoice,1703-12-30
94,Send Purchase Order,1704-12-30
95,Book Invoice,1700-12-30
95,Create Purchase Order Item,1701-12-30
95,Receive Goods,1702-12-30
95,Scan Invoice,1703-12-30
95,Send Purchase Order,1704-12-30
96,Book Invoice,1700-12-30
96,Create Purchase Order Item,1701-12-30
96,Receive Goods,1702-12-30
96,Scan Invoice,1703-12-30
96,Send Purchase Order,1704-12-30
97,Book Invoice,1700-12-30
97,Create Purchase Order Item,1701-12-30
97,Receive Goods,1702-12-30
97,Scan Invoice,1703-12-30
97,Send Purchase Order,1704-12-30
98,Book Invoice,1700-12-30
98,Create Purchase Order Item,1701-12-30
98,Receive Goods,1702-12-30
98,Scan Invoice,1703-12-30
98,Send Purchase Order,1704-12-30
99,Book Invoice,1700-12-30
99,Create Purchase Order Item,1701-12-30
99,Receive Goods,1702-12-30
99,Scan Invoice,1703-12-30
99,Send Purchase Order,1704-12-30
100,Book Invoice,1700-12-30
100,Create Purchase Order Item,1701-12-30
100,Receive Goods,1702-12-30
100,Scan Invoice,1703-12-30
100,Send Purchase Order,1704-12-30
101,Book Invoice,1700-12-30
101,Create Purchase Order Item,1701-12-30
101,Receive Goods,1702-12-30
101,Scan Invoice,1703-12-30
101,Send Purchase Order,1704-12-30
102,Book Invoice,1700-12-30
102,Change Price,1701-12-30
102,Create Purchase Order Item,1702-12-30
102,Receive Goods,1703-12-30
102,Scan Invoice,1704-12-30
102,Send Purchase Order,1705-12-30
103,Book Invoice,1700-12-30
103,Change Price,1701-12-30
103,Create Purchase Order Item,1702-12-30
103,Receive Goods,1703-12-30
103,Scan Invoice,1704-12-30
103,Send Purchase Order,1705-12-30
104,Book Invoice,1700-12-30
104,Change Price,1701-12-30
104,Create Purchase Order Item,1702-12-30
104,Receive Goods,1703-12-30
104,Scan Invoice,1704-12-30
104,Send Purchase Order,1705-12-30
105,Book Invoice,1700-12-30
105,Change Price,1701-12-30
105,Create Purchase Order Item,1702-12-30
105,Receive Goods,1703-12-30
105,Scan Invoice,1704-12-30
105,Send Purchase Order,1705-12-30
106,Book Invoice,1700-12-30
106,Create Purchase Order Item,1701-12-30
106,Receive Goods,1702-12-30
106,Scan Invoice,1703-12-30
106,Send Purchase Order,1704-12-30
107,Book Invoice,1700-12-30
107,Create Purchase Order Item,1701-12-30
107,Receive Goods,1702-12-30
107,Scan Invoice,1703-12-30
107,Send Purchase Order,1704-12-30
108,Book Invoice,1700-12-30
108,Create Purchase Order Item,1701-12-30
108,Receive Goods,1702-12-30
108,Scan Invoice,1703-12-30
108,Send Purchase Order,1704-12-30
109,Book Invoice,1700-12-30
109,Create Purchase Order Item,1701-12-30
109,Receive Goods,1702-12-30
109,Scan Invoice,1703-12-30
109,Send Purchase Order,1704-12-30
110,Book Invoice,1700-12-30
110,Create Purchase Order Item,1701-12-30
110,Receive Goods,1702-12-30
110,Scan Invoice,1703-12-30
110,Send Purchase Order,1704-12-30
111,Book Invoice,1700-12-30
111,Create Purchase Order Item,1701-12-30
111,Receive Goods,1702-12-30
111,Scan Invoice,1703-12-30
111,Send Purchase Order,1704-12-30
112,Book Invoice,1700-12-30
112,Create Purchase Order Item,1701-12-30
112,Receive Goods,1702-12-30
112,Receive Order Confirmation,1703-12-30
112,Scan Invoice,1704-12-30
112,Send Purchase Order,1705-12-30
113,Book Invoice,1700-12-30
113,Create Purchase Order Item,1701-12-30
113,Receive Goods,1702-12-30
113,Receive Order Confirmation,1703-12-30
113,Scan Invoice,1704-12-30
113,Send Purchase Order,1705-12-30
114,Book Invoice,1700-12-30
114,Create Purchase Order Item,1701-12-30
114,Dun Order Confirmation,1702-12-30
114,Receive Goods,1703-12-30
114,Receive Order Confirmation,1704-12-30
114,Scan Invoice,1705-12-30
114,Send Purchase Order,1706-12-30
115,Book Invoice,1700-12-30
115,Create Purchase Order Item,1701-12-30
115,Dun Order Confirmation,1702-12-30
115,Receive Goods,1703-12-30
115,Receive Order Confirmation,1704-12-30
115,Scan Invoice,1705-12-30
115,Send Purchase Order,1706-12-30
116,Book Invoice,1700-12-30
116,Create Purchase Order Item,1701-12-30
116,Receive Goods,1702-12-30
116,Remove Payment Block,1703-12-30
116,Scan Invoice,1704-12-30
116,Send Purchase Order,1705-12-30
116,Set Payment Block,1706-12-30
117,Book Invoice,1700-12-30
117,Create Purchase Order Item,1701-12-30
117,Receive Goods,1702-12-30
117,Scan Invoice,1703-12-30
117,Send Purchase Order,1704-12-30
117,Send Purchase Order Update,1705-12-30
118,Book Invoice,1700-12-30
118,Change Currency,1701-12-30
118,Create Purchase Order Item,1702-12-30
118,Receive Goods,1703-12-30
118,Scan Invoice,1704-12-30
118,Send Purchase Order,1705-12-30
119,Create Purchase Order Item,1700-12-30
119,Delete Purchase Order Item,1701-12-30
119,Send Purchase Order,1702-12-30
120,Block Purchase Order Item,1700-12-30
120,Create Purchase Order Item,1701-12-30
120,Send Purchase Order,1702-12-30
121,Block Purchase Order Item,1700-12-30
121,Book Invoice,1701-12-30
121,Create Purchase Order Item,1702-12-30
121,Receive Goods,1703-12-30
121,Release Purchase Order,1704-12-30
121,Scan Invoice,1705-12-30
121,Send Purchase Order,1706-12-30
122,Create Purchase Order Item,1700-12-30
122,Refuse Purchase Order Item,1701-12-30
123,Book Invoice,1700-12-30
123,Create Purchase Order Item,1701-12-30
123,Receive Goods,1702-12-30
123,Scan Invoice,1703-12-30
123,Send Purchase Order,1704-12-30
124,Book Invoice,1700-12-30
124,Create Purchase Order Item,1701-12-30
124,Receive Goods,1702-12-30
124,Scan Invoice,1703-12-30
124,Send Purchase Order,1704-12-30
125,Book Invoice,1700-12-30
125,Create Purchase Order Item,1701-12-30
125,Receive Goods,1702-12-30
125,Scan Invoice,1703-12-30
125,Send Purchase Order,1704-12-30
126,Book Invoice,1700-12-30
126,Create Purchase Order Item,1701-12-30
126,Receive Goods,1702-12-30
126,Scan Invoice,1703-12-30
126,Send Purchase Order,1704-12-30
127,Book Invoice,1700-12-30
127,Create Purchase Order Item,1701-12-30
127,Receive Goods,1702-12-30
127,Scan Invoice,1703-12-30
127,Send Purchase Order,1704-12-30
128,Book Invoice,1700-12-30
128,Create Purchase Order Item,1701-12-30
128,Receive Goods,1702-12-30
128,Scan Invoice,1703-12-30
128,Send Purchase Order,1704-12-30
129,Book Invoice,1700-12-30
129,Create Purchase Order Item,1701-12-30
129,Receive Goods,1702-12-30
129,Scan Invoice,1703-12-30
129,Send Purchase Order,1704-12-30
130,Book Invoice,1700-12-30
130,Create Purchase Order Item,1701-12-30
130,Receive Goods,1702-12-30
130,Scan Invoice,1703-12-30
130,Send Purchase Order,1704-12-30
131,Book Invoice,1700-12-30
131,Create Purchase Order Item,1701-12-30
131,Receive Goods,1702-12-30
131,Scan Invoice,1703-12-30
131,Send Purchase Order,1704-12-30
132,Book Invoice,1700-12-30
132,Create Purchase Order Item,1701-12-30
132,Receive Goods,1702-12-30
132,Scan Invoice,1703-12-30
132,Send Purchase Order,1704-12-30
133,Book Invoice,1700-12-30
133,Create Purchase Order Item,1701-12-30
133,Receive Goods,1702-12-30
133,Scan Invoice,1703-12-30
133,Send Purchase Order,1704-12-30
134,Book Invoice,1700-12-30
134,Create Purchase Order Item,1701-12-30
134,Receive Goods,1702-12-30
134,Scan Invoice,1703-12-30
134,Send Purchase Order,1704-12-30
135,Book Invoice,1700-12-30
135,Create Purchase Order Item,1701-12-30
135,Receive Goods,1702-12-30
135,Scan Invoice,1703-12-30
135,Send Purchase Order,1704-12-30
136,Book Invoice,1700-12-30
136,Create Purchase Order Item,1701-12-30
136,Receive Goods,1702-12-30
136,Scan Invoice,1703-12-30
136,Send Purchase Order,1704-12-30
137,Book Invoice,1700-12-30
137,Create Purchase Order Item,1701-12-30
137,Receive Goods,1702-12-30
137,Scan Invoice,1703-12-30
137,Send Purchase Order,1704-12-30
138,Book Invoice,1700-12-30
138,Create Purchase Order Item,1701-12-30
138,Receive Goods,1702-12-30
138,Scan Invoice,1703-12-30
138,Send Purchase Order,1704-12-30
139,Book Invoice,1700-12-30
139,Create Purchase Order Item,1701-12-30
139,Receive Goods,1702-12-30
139,Scan Invoice,1703-12-30
139,Send Purchase Order,1704-12-30
140,Book Invoice,1700-12-30
140,Create Purchase Order Item,1701-12-30
140,Receive Goods,1702-12-30
140,Scan Invoice,1703-12-30
140,Send Purchase Order,1704-12-30
141,Book Invoice,1700-12-30
141,Create Purchase Order Item,1701-12-30
141,Receive Goods,1702-12-30
141,Scan Invoice,1703-12-30
141,Send Purchase Order,1704-12-30
142,Book Invoice,1700-12-30
142,Create Purchase Order Item,1701-12-30
142,Receive Goods,1702-12-30
142,Scan Invoice,1703-12-30
142,Send Purchase Order,1704-12-30
143,Book Invoice,1700-12-30
143,Change Price,1701-12-30
143,Create Purchase Order Item,1702-12-30
143,Receive Goods,1703-12-30
143,Scan Invoice,1704-12-30
143,Send Purchase Order,1705-12-30
144,Book Invoice,1700-12-30
144,Change Price,1701-12-30
144,Create Purchase Order Item,1702-12-30
144,Receive Goods,1703-12-30
144,Scan Invoice,1704-12-30
144,Send Purchase Order,1705-12-30
145,Book Invoice,1700-12-30
145,Change Price,1701-12-30
145,Create Purchase Order Item,1702-12-30
145,Receive Goods,1703-12-30
145,Scan Invoice,1704-12-30
145,Send Purchase Order,1705-12-30
146,Book Invoice,1700-12-30
146,Change Price,1701-12-30
146,Create Purchase Order Item,1702-12-30
146,Receive Goods,1703-12-30
146,Scan Invoice,1704-12-30
146,Send Purchase Order,1705-12-30
147,Book Invoice,1700-12-30
147,Create Purchase Order Item,1701-12-30
147,Receive Goods,1702-12-30
147,Scan Invoice,1703-12-30
147,Send Purchase Order,1704-12-30
148,Book Invoice,1700-12-30
148,Create Purchase Order Item,1701-12-30
148,Receive Goods,1702-12-30
148,Scan Invoice,1703-12-30
148,Send Purchase Order,1704-12-30
149,Book Invoice,1700-12-30
149,Create Purchase Order Item,1701-12-30
149,Receive Goods,1702-12-30
149,Scan Invoice,1703-12-30
149,Send Purchase Order,1704-12-30
150,Book Invoice,1700-12-30
150,Create Purchase Order Item,1701-12-30
150,Receive Goods,1702-12-30
150,Scan Invoice,1703-12-30
150,Send Purchase Order,1704-12-30
151,Book Invoice,1700-12-30
151,Create Purchase Order Item,1701-12-30
151,Receive Goods,1702-12-30
151,Scan Invoice,1703-12-30
151,Send Purchase Order,1704-12-30
152,Book Invoice,1700-12-30
152,Create Purchase Order Item,1701-12-30
152,Receive Goods,1702-12-30
152,Scan Invoice,1703-12-30
152,Send Purchase Order,1704-12-30
153,Book Invoice,1700-12-30
